x,y,NDVI
397665.0,4751595.0,0.55807734
397695.0,4751595.0,0.5447138
397725.0,4751595.0,0.56907153
397755.0,4751595.0,0.57991034
397785.0,4751595.0,0.5683805
397815.0,4751595.0,0.5728581
397845.0,4751595.0,0.58439374
397875.0,4751595.0,0.5900816
397905.0,4751595.0,0.5965355
397935.0,4751595.0,0.5949536
397965.0,4751595.0,0.5984678
397995.0,4751595.0,0.52828604
398025.0,4751595.0,0.24815243
398055.0,4751595.0,0.25992084
398085.0,4751595.0,0.43456167
398115.0,4751595.0,0.49319553
398145.0,4751595.0,0.5002404
398175.0,4751595.0,0.5189202
398205.0,4751595.0,0.54549867
398235.0,4751595.0,0.5648032
398265.0,4751595.0,0.5494749
398295.0,4751595.0,0.4068037
398325.0,4751595.0,0.31004056
398355.0,4751595.0,0.41050836
398385.0,4751595.0,0.47601503
398415.0,4751595.0,0.46753475
398445.0,4751595.0,0.4680161
398475.0,4751595.0,0.44971305
398505.0,4751595.0,0.47989106
398535.0,4751595.0,0.47992578
398565.0,4751595.0,0.4651451
398595.0,4751595.0,0.44047746
398625.0,4751595.0,0.30841473
398655.0,4751595.0,0.4072459
398685.0,4751595.0,0.6058447
398715.0,4751595.0,0.5726359
398745.0,4751595.0,0.37989447
398775.0,4751595.0,0.13068385
398805.0,4751595.0,0.16165029
398835.0,4751595.0,0.09556191
398865.0,4751595.0,0.092585705
398895.0,4751595.0,0.1323215
398925.0,4751595.0,0.13011916
398955.0,4751595.0,0.26151735
398985.0,4751595.0,0.5009749
399015.0,4751595.0,0.5217755
399045.0,4751595.0,0.5253237
399075.0,4751595.0,0.5036475
399105.0,4751595.0,0.4973491
399135.0,4751595.0,0.5448133
399165.0,4751595.0,0.5517189
399195.0,4751595.0,0.5730468
399225.0,4751595.0,0.55531806
399255.0,4751595.0,0.5553856
399285.0,4751595.0,0.57238555
399315.0,4751595.0,0.56729066
399345.0,4751595.0,0.5368555
399375.0,4751595.0,0.48917833
399405.0,4751595.0,0.49845064
399435.0,4751595.0,0.500941
399465.0,4751595.0,0.5075088
399495.0,4751595.0,0.47755554
399525.0,4751595.0,0.44438004
399555.0,4751595.0,0.46315256
399585.0,4751595.0,0.44330102
399615.0,4751595.0,0.42673197
399645.0,4751595.0,0.47959635
399675.0,4751595.0,0.5499006
399705.0,4751595.0,0.50177455
399735.0,4751595.0,0.4483649
399765.0,4751595.0,0.2970935
399795.0,4751595.0,0.2320967
399825.0,4751595.0,0.23953848
399855.0,4751595.0,0.23777123
399885.0,4751595.0,0.23590411
399915.0,4751595.0,0.23924226
399945.0,4751595.0,0.24665013
399975.0,4751595.0,0.23886108
400005.0,4751595.0,0.23474158
400035.0,4751595.0,0.24602294
400065.0,4751595.0,0.2564144
400095.0,4751595.0,0.25723603
400125.0,4751595.0,0.2448623
400155.0,4751595.0,0.22883855
400185.0,4751595.0,0.32439908
400215.0,4751595.0,0.38840938
400245.0,4751595.0,0.32201692
400275.0,4751595.0,0.31910184
400305.0,4751595.0,0.24117693
400335.0,4751595.0,0.23105177
400365.0,4751595.0,0.28587407
400395.0,4751595.0,0.3185114
400425.0,4751595.0,0.29619017
400455.0,4751595.0,0.27412558
400485.0,4751595.0,0.4159997
400515.0,4751595.0,0.56228495
400545.0,4751595.0,0.578998
400575.0,4751595.0,0.56757253
400605.0,4751595.0,0.5313531
400635.0,4751595.0,0.5336794
400665.0,4751595.0,0.550406
400695.0,4751595.0,0.5430817
400725.0,4751595.0,0.5303385
400755.0,4751595.0,0.5352202
400785.0,4751595.0,0.5441387
400815.0,4751595.0,0.5242315
400845.0,4751595.0,0.53419995
400875.0,4751595.0,0.5547039
400905.0,4751595.0,0.49829867
400935.0,4751595.0,0.40728563
400965.0,4751595.0,0.4764442
400995.0,4751595.0,0.38609573
401025.0,4751595.0,0.2584063
401055.0,4751595.0,0.23109807
401085.0,4751595.0,0.3002122
401115.0,4751595.0,0.35217756
401145.0,4751595.0,0.35631394
401175.0,4751595.0,0.36930075
401205.0,4751595.0,0.43839934
401235.0,4751595.0,0.5303649
401265.0,4751595.0,0.349413
401295.0,4751595.0,0.28949818
401325.0,4751595.0,0.39750046
401355.0,4751595.0,0.56724805
401385.0,4751595.0,0.52606237
401415.0,4751595.0,0.50930077
401445.0,4751595.0,0.52712595
401475.0,4751595.0,0.52285254
