FIPS,x,y,pop,cancer,poverty,smoking,PM25,NO2,SO2
51660,1472787.865,1845021.532,94304.33333,51,24.03,24.03,20.67,1.56,0.04
54097,1348482.639,1875559.148,142406.2,74,19.86,19.86,28.53,1.73,0.11
36025,1711335.093,2323192.08,312949.2667,57,14.05,14.05,25.22,1.12,0.02
34017,1819905.966,2180131.941,50229.4,53,15.05,15.05,22.01,10.94,0.04
13305,1326934.884,1040349.836,248744.4,83,20.16,20.16,27.85,0.70,0.01
34029,1824854.704,2083480.234,96023.33333,65,8.42,8.42,24.91,3.22,0.04
51181,1670078.514,1731435.217,51878.8,66,11.72,11.72,25.02,2.44,0.07
51191,1237850.245,1611510.929,54491.4,72,12.75,12.75,26.56,1.69,0.04
37043,1104919.49,1404573.347,41037.26667,57,15.26,15.26,26.17,0.78,0.03
36077,1695430.803,2369555.448,82312.33333,59,13.91,13.91,23.35,1.27,0.01
42089,1709056.974,2192003.055,15854.33333,69,9.77,9.77,24.97,2.64,0.06
36041,1712275.97,2490987.62,14706.93333,73,10.17,10.17,22.35,0.89,0.00
37147,1662198.209,1556593.377,29629.26667,63,20.43,20.43,23.14,1.58,0.01
13019,1208146.786,992422.7947,37446.4,88,19.59,19.59,29.07,0.66,0.01
36071,1784395.906,2248556.365,179079.2,64,10.91,10.91,23.11,2.78,0.03
36001,1780443.169,2385249.289,61916.73333,64,11.43,11.43,21.46,2.48,0.01
13303,1222799.465,1184983.217,58495.6,73,22.82,22.82,27.57,1.02,0.07
51113,1523847.656,1851669.482,9915.333333,57,10.35,10.35,24.45,1.64,0.05
51187,1519532.581,1907327.622,30253.93333,80,9.51,9.51,26.87,1.97,0.07
37065,1635788.182,1587878.711,19154.73333,72,22.83,22.83,28.27,1.69,0.02
13051,1392412.033,1101415.414,23838.4,65,17.26,17.26,24.17,1.05,0.01
51053,1607599.901,1715108.814,49033.13333,78,10.75,10.75,28.22,2.14,0.06
13043,1298399.5,1132052.351,26263.2,77,23.82,23.82,27.38,0.78,0.02
51009,1466190.928,1748958.493,26710.33333,74,11.95,11.95,27.19,1.67,0.03
51770,1402346.68,1700671.94,7831.733333,82,17.51,17.51,28.96,2.15,0.04
37179,1394272.731,1439225.335,44833.53333,60,9.29,9.29,22.09,2.08,0.05
37189,1269211.479,1560293.27,257236.6,47,18.85,18.85,20.79,1.24,0.04
51157,1528372.041,1883439.688,12484.53333,56,8.29,8.29,21.96,1.72,0.06
54085,1273217.53,1895127.718,8899.666667,80,17.58,17.58,31.44,3.05,0.25
51013,1613596.309,1922262.73,37831.66667,43,6.77,6.77,13.98,5.01,0.14
13285,1016197.213,1165749.052,10487.46667,74,17.27,17.27,26.14,1.26,0.10
13039,1360362.387,975480.8504,17128,72,11.96,11.96,25.05,0.75,0.03
36019,1748150.048,2623675.29,24337.26667,69,13.75,13.75,23.70,1.18,0.00
45011,1342753.031,1236098.031,135350.8667,73,21.41,21.41,27.21,1.10,0.03
45057,1384086.392,1403329.781,904638.8,68,15.95,15.95,29.13,1.59,0.04
37011,1251796.433,1540204.588,55809.93333,66,17.58,17.58,26.47,1.20,0.04
24001,1463675.83,1978141.473,15283.66667,64,15.16,15.16,26.38,2.71,0.14
37165,1490869.031,1438927.834,53365.6,79,23.49,23.49,28.09,1.43,0.02
42073,1301449.84,2105533.834,63918.2,62,13.28,13.28,27.29,4.10,0.22
42039,1307257.316,2185193.456,19316.06667,66,14.26,14.26,27.57,2.92,0.10
42015,1596515.267,2251514.685,33476.53333,65,12.86,12.86,26.88,1.47,0.05
13035,1111388.857,1205843.94,19444.13333,91,14.74,14.74,29.11,2.01,0.16
13001,1288990.75,1057012.927,15857.53333,77,19.44,19.44,27.43,0.71,0.01
36107,1604638.584,2296816.053,16597.8,61,9.81,9.81,23.31,1.73,0.03
37121,1231540.194,1530025.882,15297.53333,72,15.86,15.86,27.71,1.09,0.04
45001,1233904.427,1327933.576,42711.13333,70,16.40,16.40,26.93,1.25,0.02
54095,1283161.73,1929358.59,117327.4,86,16.50,16.50,30.61,3.48,0.30
51800,1701943.473,1690601.23,259083.9333,74,11.63,11.63,23.47,1.93,0.05
45023,1343252.819,1397436.613,48423.46667,81,18.55,18.55,30.47,1.43,0.05
13317,1214993.687,1275513.359,5976.666667,76,19.97,19.97,28.11,1.18,0.05
13155,1198918.04,1027877.281,52722.13333,77,21.77,21.77,29.30,0.68,0.01
36045,1590775.698,2508226.523,8101.4,72,14.85,14.85,26.00,1.80,0.01
34001,1803710.599,2031834.035,19885.26667,69,10.93,10.93,25.99,3.11,0.04
42017,1745633.551,2117385.439,14317.46667,60,5.29,5.29,21.84,5.08,0.06
37037,1494044.085,1537413.373,13085.33333,51,10.59,10.59,21.09,2.25,0.04
37097,1349138.009,1524687.672,41938.66667,65,10.99,10.99,25.21,2.32,0.10
42061,1506866.668,2076919.913,230094.6667,61,12.59,12.59,26.34,2.76,0.11
