SiteID,long,lat,x,y,FIPS,STATE,COUNTY,SOC,DEM,Slope,MAP,MAT,NDVI,NLCD,NLCD_DES
26,-108.65148,37.733779999999996,-1101155.209767368,1706391.9895259219,8033,Colorado,Dolores County,4.874,2328.449951171875,10.46269989013672,508.8980102539063,7.0752501487731925,0.57362300157547,4,Forest
27,-108.65148,37.733779999999996,-1101155.209767368,1706391.9895259219,8033,Colorado,Dolores County,4.874,2328.449951171875,10.46269989013672,508.8980102539063,7.0752501487731925,0.57362300157547,4,Forest
28,-108.40023000000001,37.65977995,-1080491.6262346564,1695286.3584289555,8033,Colorado,Dolores County,4.4110000000000005,2416.590087890625,7.329060077667236,569.8179931640625,6.133250236511231,0.5926129817962646,4,Forest
29,-108.14849,37.74476,-1057462.9666529978,1701899.5783879962,8033,Colorado,Dolores County,30.473000000000003,3124.8701171875,16.747499465942386,777.43701171875,2.569799900054932,0.7378100156784058,4,Forest
30,-104.6879828,39.15531456,-742818.0793265802,1826295.9594991668,8035,Colorado,Douglas County,8.221,2224.419921875,3.9467499256134033,532.8909912109375,6.996880054473878,0.4922460019588471,6,Herbaceous
31,-104.66926,39.50217996,-737680.3664594203,1864862.8484424776,8035,Colorado,Douglas County,3.4589999999999996,1917.9000244140625,2.958290100097656,493.2030029296875,8.97428035736084,0.4275380074977875,6,Herbaceous
32,-106.56148999999999,39.91398996,-892971.2908605413,1927011.4398041316,8037,Colorado,Eagle County,6.641,2534.300048828125,13.76580047607422,518.1589965820311,3.2809500694274902,0.571150004863739,5,Shrubland
33,-104.24721,39.14085996,-705369.8397899612,1821323.8996215027,8039,Colorado,Elbert County,2.397,1909.5999755859373,2.274749994277954,454.6659851074219,8.36713981628418,0.40374699234962463,6,Herbaceous
34,-104.0096334,39.44205112,-682257.485831565,1853222.1792241859,8039,Colorado,Elbert County,3.0669999999999997,1708.97998046875,2.5981199741363525,414.9549865722656,9.060819625854492,0.3835659921169281,6,Herbaceous
35,-103.89040250000001,39.44617792,-672086.6129574379,1852833.4599430503,8039,Colorado,Elbert County,9.1,1682.0999755859375,1.9773399829864504,409.3689880371094,9.131340026855467,0.3831950128078461,6,Herbaceous
36,-105.00798,38.97708999,-771987.7560388343,1808957.1991486326,8041,Colorado,El Paso County,23.19,2684.260009765625,7.831620216369629,629.9920043945312,4.578090190887451,0.5853670239448547,4,Forest
37,-105.00798,38.97708999,-771987.7560388343,1808957.1991486326,8041,Colorado,El Paso County,23.19,2684.260009765625,7.831620216369629,629.9920043945312,4.578090190887451,0.5853670239448547,4,Forest
38,-105.00798,38.97708999,-771987.7560388343,1808957.1991486326,8041,Colorado,El Paso County,23.19,2684.260009765625,7.831620216369629,629.9920043945312,4.578090190887451,0.5853670239448547,4,Forest
